date,symptom,n
2019-01-01,s01,0
2019-01-01,s02,0
2019-01-01,s03,1
2019-01-01,s04,0
2019-01-01,s05,27
2019-01-01,s06,891
2019-01-01,s07,6
2019-01-01,s08,0
2019-01-01,s10,0
2019-01-01,s11,791
2019-01-01,s12,8
2019-01-01,s13,0
2019-01-01,s14,211
2019-01-01,s15,0
2019-01-01,s16,0
2019-01-01,s17,1
2019-01-01,s19,0
2019-01-01,s20,3
2019-01-01,s21,4465
2019-01-01,s22,388
2019-01-01,s23,363
2019-01-01,s24,157
2019-01-01,s25,0
2019-01-01,s26,0
2019-01-01,s27,0
2019-01-01,s28,186
2019-01-01,s29,792
2019-01-01,s30,362
2019-01-01,s31,0
2019-01-01,s32,0
2019-01-01,s33,0
2019-01-01,s34,0
2019-01-01,s35,0
2019-01-01,s36,118
2019-01-01,s37,35
2019-01-01,s38,0
2019-01-01,s39,0
2019-01-01,s40,0
2019-01-01,s41,0
2019-01-01,s42,31
2019-01-01,s43,3
2019-01-01,s44,0
2019-01-01,s45,5
2019-01-01,s46,0
2019-01-01,s47,0
2019-01-01,s48,0
2019-01-01,s49,168
2019-01-01,s50,1
2019-01-01,s51,0
2019-01-01,s52,0
2019-01-01,s53,0
2019-01-01,s54,0
2019-01-01,s55,206
2019-01-01,s56,590
2019-01-02,s01,0
2019-01-02,s02,0
2019-01-02,s03,0
2019-01-02,s04,0
2019-01-02,s05,26
2019-01-02,s06,822
2019-01-02,s07,3
2019-01-02,s08,0
2019-01-02,s10,5
2019-01-02,s11,898
2019-01-02,s12,10
2019-01-02,s13,0
2019-01-02,s14,176
2019-01-02,s15,2
2019-01-02,s16,0
2019-01-02,s17,2
2019-01-02,s19,0
2019-01-02,s20,8
2019-01-02,s21,3704
2019-01-02,s22,487
2019-01-02,s23,475
2019-01-02,s24,212
2019-01-02,s25,0
2019-01-02,s26,0
2019-01-02,s27,0
2019-01-02,s28,340
2019-01-02,s29,897
2019-01-02,s30,618
2019-01-02,s31,0
2019-01-02,s32,2
2019-01-02,s33,0
2019-01-02,s34,0
2019-01-02,s35,1
2019-01-02,s36,125
2019-01-02,s37,33
2019-01-02,s38,0
2019-01-02,s39,2
2019-01-02,s40,0
2019-01-02,s41,0
2019-01-02,s42,40
2019-01-02,s43,1
2019-01-02,s44,0
2019-01-02,s45,13
2019-01-02,s46,0
2019-01-02,s47,0
2019-01-02,s48,0
2019-01-02,s49,228
2019-01-02,s50,0
2019-01-02,s51,0
2019-01-02,s52,0
2019-01-02,s53,0
2019-01-02,s54,0
2019-01-02,s55,273
2019-01-02,s56,404
2019-01-03,s01,0
2019-01-03,s02,0
2019-01-03,s03,1
2019-01-03,s04,0
2019-01-03,s05,33
2019-01-03,s06,753
2019-01-03,s07,5
2019-01-03,s08,0
2019-01-03,s10,1
2019-01-03,s11,1032
2019-01-03,s12,5
2019-01-03,s13,1
2019-01-03,s14,200
2019-01-03,s15,1
2019-01-03,s16,0
2019-01-03,s17,1
2019-01-03,s19,0
2019-01-03,s20,5
2019-01-03,s21,3851
2019-01-03,s22,533
2019-01-03,s23,340
2019-01-03,s24,261
2019-01-03,s25,0
2019-01-03,s26,0
2019-01-03,s27,0
2019-01-03,s28,328
2019-01-03,s29,1035
2019-01-03,s30,732
2019-01-03,s31,0
2019-01-03,s32,0
2019-01-03,s33,3
2019-01-03,s34,0
2019-01-03,s35,2
2019-01-03,s36,154
2019-01-03,s37,32
2019-01-03,s38,0
2019-01-03,s39,2
2019-01-03,s40,0
2019-01-03,s41,0
2019-01-03,s42,46
2019-01-03,s43,4
2019-01-03,s44,1
2019-01-03,s45,1
2019-01-03,s46,0
2019-01-03,s47,0
2019-01-03,s48,0
2019-01-03,s49,313
2019-01-03,s50,1
2019-01-03,s51,0
2019-01-03,s52,0
2019-01-03,s53,0
2019-01-03,s54,0
2019-01-03,s55,322
2019-01-03,s56,380
2019-01-04,s01,0
2019-01-04,s02,0
2019-01-04,s03,12
2019-01-04,s04,0
2019-01-04,s05,29
2019-01-04,s06,738
2019-01-04,s07,4
2019-01-04,s08,0
2019-01-04,s10,1
2019-01-04,s11,1079
2019-01-04,s12,11
2019-01-04,s13,0
2019-01-04,s14,148
2019-01-04,s15,2
2019-01-04,s16,0
2019-01-04,s17,1
2019-01-04,s19,0
2019-01-04,s20,8
2019-01-04,s21,3632
2019-01-04,s22,474
2019-01-04,s23,326
2019-01-04,s24,254
2019-01-04,s25,0
2019-01-04,s26,0
2019-01-04,s27,0
2019-01-04,s28,340
2019-01-04,s29,1078
2019-01-04,s30,927
2019-01-04,s31,0
2019-01-04,s32,0
2019-01-04,s33,0
2019-01-04,s34,0
2019-01-04,s35,2
2019-01-04,s36,168
2019-01-04,s37,38
2019-01-04,s38,0
2019-01-04,s39,2
2019-01-04,s40,4
2019-01-04,s41,0
2019-01-04,s42,63
2019-01-04,s43,2
2019-01-04,s44,0
2019-01-04,s45,1
2019-01-04,s46,0
2019-01-04,s47,0
2019-01-04,s48,0
2019-01-04,s49,321
2019-01-04,s50,0
2019-01-04,s51,0
2019-01-04,s52,0
2019-01-04,s53,2
2019-01-04,s54,2
2019-01-04,s55,318
2019-01-04,s56,378
2019-01-05,s01,0
2019-01-05,s02,0
2019-01-05,s03,0
2019-01-05,s04,0
2019-01-05,s05,29
2019-01-05,s06,669
2019-01-05,s07,9
2019-01-05,s08,0
2019-01-05,s10,3
2019-01-05,s11,978
2019-01-05,s12,6
2019-01-05,s13,0
2019-01-05,s14,149
2019-01-05,s15,0
2019-01-05,s16,0
2019-01-05,s17,1
2019-01-05,s19,0
2019-01-05,s20,7
2019-01-05,s21,3753
2019-01-05,s22,403
2019-01-05,s23,342
2019-01-05,s24,225
2019-01-05,s25,0
2019-01-05,s26,0
2019-01-05,s27,0
2019-01-05,s28,277
2019-01-05,s29,975
2019-01-05,s30,851
2019-01-05,s31,1
2019-01-05,s32,1
2019-01-05,s33,2
2019-01-05,s34,0
2019-01-05,s35,1
2019-01-05,s36,139
2019-01-05,s37,25
2019-01-05,s38,2
2019-01-05,s39,3
2019-01-05,s40,0
2019-01-05,s41,0
2019-01-05,s42,37
2019-01-05,s43,1
2019-01-05,s44,0
2019-01-05,s45,12
2019-01-05,s46,0
2019-01-05,s47,0
2019-01-05,s48,0
2019-01-05,s49,353
2019-01-05,s50,1
2019-01-05,s51,0
2019-01-05,s52,0
2019-01-05,s53,0
2019-01-05,s54,0
2019-01-05,s55,291
2019-01-05,s56,333
2019-01-06,s01,0
2019-01-06,s02,0
2019-01-06,s03,0
2019-01-06,s04,0
2019-01-06,s05,28
2019-01-06,s06,756
2019-01-06,s07,6
2019-01-06,s08,0
2019-01-06,s10,0
2019-01-06,s11,959
2019-01-06,s12,8
2019-01-06,s13,0
2019-01-06,s14,172
2019-01-06,s15,1
2019-01-06,s16,1
2019-01-06,s17,1
2019-01-06,s19,0
2019-01-06,s20,4
2019-01-06,s21,4121
2019-01-06,s22,359
2019-01-06,s23,296
2019-01-06,s24,311
2019-01-06,s25,0
2019-01-06,s26,0
2019-01-06,s27,0
2019-01-06,s28,325
2019-01-06,s29,960
2019-01-06,s30,821
2019-01-06,s31,0
2019-01-06,s32,0
2019-01-06,s33,0
2019-01-06,s34,0
2019-01-06,s35,1
2019-01-06,s36,155
2019-01-06,s37,26
2019-01-06,s38,0
2019-01-06,s39,1
2019-01-06,s40,1
